Date,Open,High,Low,Close,Volume
15-05-2012,1238,1239.9,1205.1,1217.3,567300
16-05-2012,1202.25,1202.25,1167.35,1192.1,673600
17-05-2012,1200,1218,1188,1205.3,599600
18-05-2012,1175.25,1193,1156,1166.65,612400
21-05-2012,1173.25,1215.95,1170.55,1208.8,413800
22-05-2012,1218.85,1224.6,1143.35,1153.95,950800
23-05-2012,1141,1163.9,1116,1153.1,782000
24-05-2012,1128.9,1148.85,1115.45,1144.45,955700
25-05-2012,1133,1150,1109,1119,921100
28-05-2012,1124.1,1130,1098.2,1103.55,874000
29-05-2012,1111,1136.2,1105,1128.35,817100
30-05-2012,1112.05,1157.35,1110,1151.05,1151100
31-05-2012,1129,1134.35,1093.15,1100.25,3301100
01-06-2012,1106.95,1118.6,1071,1074.85,879700
04-06-2012,1069.7,1078,1051,1067.5,548500
05-06-2012,1077.5,1089.9,1058.3,1079,605000
06-06-2012,1079.9,1115.8,1076.35,1107.95,925800
07-06-2012,1120,1146.4,1110.6,1143.25,984700
08-06-2012,1137,1137,1111.15,1124.05,456000
11-06-2012,1132,1143.4,1102,1110.5,724200
12-06-2012,1104,1152.8,1103.35,1144.55,534200
13-06-2012,1138,1144,1102.5,1107.75,1333400
14-06-2012,1110.15,1125.3,1073.15,1080.1,882600
15-06-2012,1094,1110,1077.3,1106.8,685800
18-06-2012,1115,1127.45,1083.5,1091.8,610100
19-06-2012,1090,1103.7,1076.4,1090.95,430200
20-06-2012,1089,1092.55,1073,1076.4,616000
21-06-2012,1080,1094,1062.1,1088.85,844900
22-06-2012,1078,1113.3,1074.5,1102.1,904600
25-06-2012,1106.6,1133.9,1106.6,1113.9,910200
26-06-2012,1115,1120.95,1105.05,1113.2,302200
27-06-2012,1121,1124,1109,1121.7,532500
28-06-2012,1126.95,1132,1110.35,1120.85,516400
29-06-2012,1140,1176,1140,1169.75,1346700
02-07-2012,1180,1204.8,1155,1178.5,1141200
03-07-2012,1188,1201.2,1185.45,1191.65,973800
04-07-2012,1197.25,1224.5,1197.25,1221.15,1044700
